latitude,longitude,price
40.75421148,-73.99495724,$412.00 
40.76283674,-73.99442548,$199.00 
40.76556559,-73.98745302,$159.00 
40.76288064,-73.98814977,$225.00 
40.75960098,-73.99099365,$219.00 
40.76253147,-73.99307894,$250.00 
40.76535336,-73.98465755,$80.00 
40.76152321,-73.98709885,$201.00 
40.76303836,-73.99166258,$155.00 
40.76337848,-73.99551502,$200.00 
40.76272543,-73.98789737,$335.00 
40.86107196,-73.92958509,$100.00 
40.8681752,-73.9270794,$75.00 
40.86724093,-73.91844214,$10.00 
40.86716874,-73.91943144,$145.00 
40.75169857,-73.89393122,$200.00 
40.74085542,-73.98029702,$67.00 
40.74120164,-73.98170753,$110.00 
40.74128641,-73.97773734,$200.00 
40.73988459,-73.98292701,$650.00 
40.74160731,-73.98235203,$175.00 
40.74502788,-73.97879251,$520.00 
40.73916105,-73.98220123,$235.00 
40.74190648,-73.98112482,$190.00 
40.71866066,-73.99732793,$279.00 
40.74737364,-73.97406675,$90.00 
40.74436406,-73.9729244,$200.00 
40.75026894,-73.97929142,$200.00 
40.74732707,-73.97659601,$149.00 
40.74981282,-73.97860409,$198.00 
40.74716052,-73.97607113,$500.00 
40.76227333,-73.93033823,$150.00 
40.74638481,-73.95359619,$85.00 
40.74681152,-73.94586352,$225.00 
40.76450177,-73.93180511,$115.00 
40.75318646,-73.93382998,$395.00 
40.75227121,-73.95012022,$160.00 
40.75903239,-73.9294302,$255.00 
40.74171096,-73.95445391,$175.00 
40.71758563,-73.98419769,$175.00 
40.71238117,-73.98329098,$220.00 
40.72155353,-73.98607761,$276.00 
40.71360219,-73.98829187,$200.00 
40.71886264,-73.98326845,$180.00 
40.72164749,-73.98572549,$160.00 
40.71703148,-73.98612392,$180.00 
40.72094471,-73.98873367,$120.00 
40.7183946,-73.98298139,$220.00 
40.71885551,-73.98497463,$500.00 
40.71904561,-73.98487101,$250.00 
40.71910104,-73.98540851,$80.00 
40.7190297,-73.99039847,$130.00 
40.72093995,-73.98648617,$228.00 
40.72144231,-73.9891453,$105.00 
40.72148734,-73.98973798,$250.00 
40.71964065,-73.98448177,$244.00 
40.72257709,-73.99260752,$249.00 
40.71847874,-73.98158603,$106.00 
40.71771843,-73.98881851,$329.00 
40.74643757,-73.98389325,$132.00 
40.75440642,-73.968828,$449.00 
40.75135394,-73.98176453,$266.00 
40.75364846,-73.97151468,$369.00 
40.7437088,-73.98205239,$249.00 
40.75913984,-73.96590913,$190.00 
40.75500761,-73.97061797,$800.00 
40.74759154,-73.98900306,$129.00 
40.74413891,-73.98516304,$325.00 
40.76482614,-73.98102649,$138.00 
40.74819191,-73.98559509,$240.00 
40.75303016,-73.97327203,$245.00 
40.76518,-73.97860343,"$1,095.00 "
40.75154423,-73.97103594,$150.00 
40.75326359,-73.97994597,$138.00 
40.76503118,-73.98177475,$265.00 
40.76543009,-73.97928503,$275.00 
40.75862011,-73.96840659,$140.00 
40.76248809,-73.97556654,$354.00 
40.74790474,-73.98682786,$799.00 
40.74493428,-73.98821463,$199.00 
40.75089939,-73.96963005,$250.00 
40.7662588,-73.98066422,$175.00 
