latitude,longitude,room_type,price
40.68539378,-73.9102748,Shared room,$60.00 
40.70468426,-73.92862654,Shared room,$95.00 
40.68860603,-73.90856164,Shared room,$40.00 
40.7511867,-73.99429456,Shared room,$99.00 
40.7393827,-74.00032174,Shared room,$120.00 
40.67104223,-73.91839814,Shared room,$25.00 
40.682503,-73.87164587,Shared room,$22.00 
40.63899235,-73.94885575,Shared room,$30.00 
40.79453487,-73.94943173,Shared room,$35.00 
40.79347355,-73.94646161,Shared room,$42.00 
40.79794397,-73.93876035,Shared room,$45.00 
40.79624726,-73.94731728,Shared room,$39.00 
40.72402389,-73.98364918,Shared room,$50.00 
40.76776571,-73.91108962,Shared room,$38.00 
40.69421111,-73.94281763,Shared room,$20.00 
40.68290932,-73.94996454,Shared room,$35.00 
40.82265263,-73.95627747,Shared room,$55.00 
40.80078099,-73.95035988,Shared room,$34.00 
40.82431727,-73.93849712,Shared room,$25.00 
40.76233828,-73.99062745,Shared room,$49.00 
40.75502106,-73.99351169,Shared room,$75.00 
40.68691949,-73.78021779,Shared room,$46.00 
40.88436668,-73.8974637,Shared room,$30.00 
40.74295535,-73.97543832,Shared room,$120.00 
40.74410286,-73.97223559,Shared room,$200.00 
40.74474642,-73.98511588,Shared room,$69.00 
40.7498365,-73.98637452,Shared room,$55.00 
40.80583221,-73.96226712,Shared room,$45.00 
40.70508447,-73.90216526,Shared room,$26.00 
40.77524004,-73.94681859,Shared room,$199.00 
40.76299042,-73.95857345,Shared room,$95.00 
40.70527017,-73.93057166,Shared room,$55.00 
40.7203988,-73.96364354,Shared room,$65.00 
40.71378407,-73.93696499,Shared room,$30.00 
40.68788919,-73.95211292,Shared room,$25.00 
40.69120735,-73.90397736,Shared room,$35.00 
40.69395714,-73.9632992,Shared room,$22.00 
40.74338703,-73.85972331,Shared room,$50.00 
40.69176157,-73.98666541,Shared room,$82.00 
40.64136196,-73.94705261,Shared room,$27.00 
40.80650583,-73.93776226,Shared room,$60.00 
40.74396549,-73.86924067,Shared room,$38.00 
40.62241323,-74.03712966,Shared room,$49.00 
40.73246166,-73.98417504,Shared room,$91.00 
40.77288561,-73.92069481,Shared room,$133.00 
40.68016762,-73.92028728,Shared room,$75.00 
40.82391225,-73.93880632,Shared room,$85.00 
40.82434141,-73.94816007,Shared room,$40.00 
40.81983127,-73.95682043,Shared room,$38.00 
40.81152007,-73.93948716,Shared room,$110.00 
40.80772424,-73.95375068,Shared room,$75.00 
40.80891876,-73.94156136,Shared room,$115.00 
40.75372054,-73.99331912,Shared room,$75.00 
40.75812163,-73.98934698,Shared room,$10.00 
40.76426882,-73.99096289,Shared room,$120.00 
40.86588633,-73.9256599,Shared room,$30.00 
40.7146509,-73.89892705,Shared room,$35.00 
40.72624625,-74.00180042,Shared room,$195.00 
40.76083473,-73.98497471,Shared room,$53.00 
40.7790267,-73.95237571,Shared room,$45.00 
40.78009019,-73.95328416,Shared room,$80.00 
40.78043786,-73.98365717,Shared room,$50.00 
40.77657392,-73.97753356,Shared room,$155.00 
40.83463146,-73.940001,Shared room,$35.00 
40.85768814,-73.93374218,Shared room,$120.00 
40.70725434,-73.94413979,Shared room,$75.00 
40.68753808,-73.95393667,Shared room,$25.00 
40.68828286,-73.92988884,Shared room,$30.00 
40.69505375,-73.93161293,Shared room,$45.00 
40.70475917,-73.91968102,Shared room,$25.00 
40.69507702,-73.91053418,Shared room,$29.00 
40.8102887,-73.85300182,Shared room,$21.00 
40.66814668,-73.92919047,Shared room,$50.00 
40.67852712,-73.88958409,Shared room,$70.00 
40.68056841,-73.89313385,Shared room,$50.00 
40.63278984,-73.93895681,Shared room,$65.00 
40.724447,-73.98206439,Shared room,$44.00 
40.65254955,-73.96227266,Shared room,$85.00 
40.73764854,-73.98365868,Shared room,$65.00 
40.76386874,-73.92397821,Shared room,$85.00 
40.70504936,-73.83383353,Shared room,$36.00 
40.82257545,-73.94694481,Shared room,$75.00 
40.81302145,-73.95348654,Shared room,$55.00 
40.83001259,-73.94643507,Shared room,$165.00 
40.82929164,-73.94234251,Shared room,$50.00 
40.80025669,-73.95460255,Shared room,$27.00 
40.82664575,-73.94669141,Shared room,$49.00 
40.82622789,-73.93654659,Shared room,$30.00 
40.76342921,-73.98659338,Shared room,$50.00 
40.86769675,-73.93114805,Shared room,$90.00 
40.74387444,-73.98495803,Shared room,$60.00 
40.87786436,-73.87640604,Shared room,$50.00 
40.67954279,-73.97386842,Shared room,$70.00 
40.73798963,-73.9255859,Shared room,$60.00 
40.65241044,-74.00726024,Shared room,$40.00 
40.77689298,-73.94660641,Shared room,$60.00 
40.77486127,-73.95583438,Shared room,$48.00 
40.79404501,-73.96579835,Shared room,$60.00 
40.77221974,-73.9892268,Shared room,$85.00 
40.83851715,-73.94323593,Shared room,$40.00 
40.71860637,-73.94361882,Shared room,$75.00 
40.70649921,-73.9373533,Shared room,$50.00 
